REPORT_NUM,IYEAR,SIGNIFICAN,CAUSE,latitude,longitude,ONSHORE_ST,TOTAL_COST,PIPE_DIAME,MATERIAL_I,INSTALLATI,SYSTEM_PAR,HubDist,eq_count,eq_max_mag,eq_avg_depth,pipe_type
20240015,2023,NO,CORROSION FAILURE,31.9683,-102.0197,TX,28160,10.0,CARBON STEEL,1998,"ONSHORE PIPELINE, INCLUDING VALVE SITES",268765.9498234498,124,4.8,5.362785483870968,hazardous_liquid
20110302,2011,NO,EQUIPMENT FAILURE,39.03543,-84.69089,KY,0,,,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,1302706.152729606,78,3.9,8.06423076923077,hazardous_liquid
20120317,2012,YES,NATURAL FORCE DAMAGE,29.726669,-90.592643,LA,322649,,CARBON STEEL,1963,"ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",912336.0029445352,0,0.0,0.0,hazardous_liquid
20120095,2012,YES,CORROSION FAILURE,29.615,-88.7753333,,444913,16.0,CARBON STEEL,1970,"OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND",1060479.980528585,0,0.0,0.0,gas
20130058,2013,NO,NATURAL FORCE DAMAGE,36.03403,-87.94348,TN,45000,,,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,951637.7716975977,1915,5.7,5.30116501305483,hazardous_liquid
20170233,2017,YES,INCORRECT OPERATION,38.847721,-77.275719,VA,163718,,CARBON STEEL,1964,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,1926941.2569232325,78,3.9,8.06423076923077,hazardous_liquid
20240156,2024,NO,CORROSION FAILURE,31.37889,-103.5544,TX,60112,6.625,CARBON STEEL,2019,"ONSHORE PIPELINE, INCLUDING VALVE SITES",111733.6525231612,289,3.9,5.003940138408304,hazardous_liquid
20200169,2020,NO,EQUIPMENT FAILURE,39.483,-108.11315,CO,1276,,CARBON STEEL,2008,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,64196.9205718264,27,4.03,7.651111111111112,hazardous_liquid
20150341,2015,YES,CORROSION FAILURE,36.800991,-96.642259,OK,10065,8.625,CARBON STEEL,2013,"ONSHORE PIPELINE, INCLUDING VALVE SITES",277811.82647290075,2068,5.0,5.341645067698259,hazardous_liquid
20130140,2013,NO,OTHER ACCIDENT CAUSE,29.87727,-93.95604,TX,23780,,CARBON STEEL,1947,"ONSHORE PIPELINE, INCLUDING VALVE SITES",674261.935758353,20,3.3,4.765,hazardous_liquid
20180115,2018,YES,EXCAVATION DAMAGE,35.3243,-97.6122,OK,108368,12.0,CARBON STEEL,1960,"ONSHORE PIPELINE, INCLUDING VALVE SITES",92603.56410240926,137,4.4,5.998131386861314,gas
20230035,2023,NO,EQUIPMENT FAILURE,44.991869,-108.867111,WY,49559,,CARBON STEEL,1981,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,102049.13792011948,0,0.0,0.0,gas
20210200,2021,YES,EQUIPMENT FAILURE,29.993276,-93.985776,TX,113769,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,662208.44658803,4,4.2,5.4375,hazardous_liquid
20130383,2013,YES,INCORRECT OPERATION,40.588583,-74.21558,NJ,1520,,CARBON STEEL,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,2214695.2079297933,78,3.9,8.06423076923077,hazardous_liquid
20170104,2017,YES,EQUIPMENT FAILURE,28.43055,-91.034387,,168567,,CARBON STEEL,1992,"OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND",979560.3824868789,0,0.0,0.0,gas
20140005,2013,YES,CORROSION FAILURE,33.31601,-96.19278,TX,132000,8.0,CARBON STEEL,1960,"ONSHORE PIPELINE, INCLUDING VALVE SITES",248630.73538624463,1915,5.7,5.30116501305483,hazardous_liquid
20240003,2023,YES,EQUIPMENT FAILURE,38.070902,-98.920095,KS,109813,,MATERIAL OTHER THAN CARBON STEEL OR PLASTIC,2015,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,146564.0103622469,1,2.8,5.0,gas
20180352,2018,NO,CORROSION FAILURE,35.947101,-96.753007,OK,31700,12.0,CARBON STEEL,1999,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,196529.28565640666,1915,5.7,5.30116501305483,hazardous_liquid
20140104,2014,YES,EXCAVATION DAMAGE,42.805796,-93.295988,IA,101477,4.0,CARBON STEEL,1961,"ONSHORE PIPELINE, INCLUDING VALVE SITES",852338.0172392005,0,0.0,0.0,gas
20130406,2013,NO,EQUIPMENT FAILURE,27.839803,-97.531604,TX,5615,,,,"ONSHORE PIPELINE, INCLUDING VALVE SITES",571590.9687045236,1,3.9,5.0,hazardous_liquid
20150139,2015,YES,EXCAVATION DAMAGE,38.5140764,-121.89085311,CA,300000,6.0,CARBON STEEL,1949,"ONSHORE PIPELINE, INCLUDING VALVE SITES",15077.009172242302,46,4.09,12.233304347826087,gas
20180054,2018,NO,NATURAL FORCE DAMAGE,29.72342,-95.22797,TX,2780,,CARBON STEEL,2017,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,624397.9703962036,33,4.3,4.595151515151516,hazardous_liquid
20200225,2020,NO,INCORRECT OPERATION,31.526967,-102.9704409,TX,101,,CARBON STEEL,2016,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,191922.6612998668,289,3.9,5.003940138408304,hazardous_liquid
20190039,2019,NO,INCORRECT OPERATION,29.82582,-93.951877,TX,67537,,CARBON STEEL,2014,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,679110.0443742959,20,3.3,4.765,hazardous_liquid
20150046,2015,YES,EQUIPMENT FAILURE,29.98266,-94.06191,TX,670000,,CARBON STEEL,2014,"ONSHORE PIPELINE, INCLUDING VALVE SITES",658798.6395422172,20,3.3,4.765,hazardous_liquid
20150394,2015,YES,EQUIPMENT FAILURE,47.732308,-103.743398,ND,375131,,CARBON STEEL,2014,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,93257.06317453095,955,3.9,0.038418848167539266,hazardous_liquid
20150290,2015,YES,INCORRECT OPERATION,42.133334,-104.425221,WY,296722,,CARBON STEEL,2014,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,242137.03185596323,3,3.2,14.783333333333333,hazardous_liquid
20190048,2019,NO,OTHER OUTSIDE FORCE DAMAGE,38.661338,-90.289564,MO,62786,,CARBON STEEL,1951,"ONSHORE PIPELINE, INCLUDING VALVE SITES",838517.0273582954,95,4.4,6.0058842105263155,gas
20260048,2026,NO,CORROSION FAILURE,31.3768881,-103.5559152,TX,4618,6.625,CARBON STEEL,2019,"ONSHORE PIPELINE, INCLUDING VALVE SITES",111614.05716464359,289,3.9,5.003940138408304,hazardous_liquid
20150126,2015,NO,EQUIPMENT FAILURE,26.592994,-99.086805,TX,44544,,CARBON STEEL,2014,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,498189.73058863945,0,0.0,0.0,gas
20220285,2022,NO,MATERIAL FAILURE OF PIPE OR WELD,47.79928474,-102.923979,ND,32355,,CARBON STEEL,2021,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,143348.37616901367,1,3.3,5.0,hazardous_liquid
20230067,2023,NO,EQUIPMENT FAILURE,32.236127,-93.660169,LA,8684,,CARBON STEEL,UNKNOWN,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,511053.81251813436,19,3.2,6.777894736842105,gas
20100028,2010,YES,CORROSION FAILURE,28.32,-91.59,,410000,16.0,CARBON STEEL,1978,"OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND",952610.7867534852,0,0.0,0.0,gas
20260027,2026,NO,NATURAL FORCE DAMAGE,41.666333,-83.472217,OH,30175,,CARBON STEEL,2019,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,1507485.6127526509,3,3.3,8.93,hazardous_liquid
20140339,2014,NO,EQUIPMENT FAILURE,29.73064,-95.20349,TX,8000,,CARBON STEEL,2009,"ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",624755.5948104053,20,3.3,4.765,hazardous_liquid
20100237,2010,NO,EQUIPMENT FAILURE,32.47831,-94.868,TX,3982,,,,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,403423.32196956914,0,0.0,0.0,hazardous_liquid
20230060,2023,NO,EQUIPMENT FAILURE,33.254259,-99.200372,TX,63450,,CARBON STEEL,UNKNOWN,ONSHORE EQUIPMENT AND PIPING ASSOCIATED WITH BELOWGROUND STORAGE,183004.63504135335,4,2.8,5.7975,hazardous_liquid
20220053,2022,NO,NATURAL FORCE DAMAGE,40.556854,-74.413285,NJ,39633,,CARBON STEEL,1974,"ONSHORE PIPELINE, INCLUDING VALVE SITES",2197603.2230445477,78,3.9,8.06423076923077,hazardous_liquid
20110267,2011,YES,CORROSION FAILURE,40.167092,-81.613094,OH,293179,8.625,CARBON STEEL,1954,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1592401.4253490206,228,4.4,5.585815789473684,gas
20220118,2022,YES,EQUIPMENT FAILURE,29.674861,-98.022913,TX,30650,8.0,PLASTIC,2021,"ONSHORE PIPELINE, INCLUDING VALVE SITES",559991.5383017381,1,2.9,3.12,gas
20200140,2020,YES,CORROSION FAILURE,34.98271439,-89.64496116,MS,947294,30.0,CARBON STEEL,1984,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,791553.0892112562,1915,5.7,5.30116501305483,hazardous_liquid
20240085,2024,NO,EQUIPMENT FAILURE,39.36474,-93.45982,MO,3756,,MATERIAL OTHER THAN CARBON STEEL,UNKNOWN,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,672126.4341874438,3551,5.8,5.492065615319628,hazardous_liquid
20100036,2010,NO,EQUIPMENT FAILURE,39.13776,-94.5968,KS,1514,,MATERIAL OTHER THAN CARBON STEEL,,"ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES",591451.1453823757,3551,5.8,5.492065615319628,hazardous_liquid
20240040,2024,NO,NATURAL FORCE DAMAGE,31.87572,-103.95883,TX,31192,,CARBON STEEL,2023,"ONSHORE PIPELINE, INCLUDING VALVE SITES",84755.38403214996,289,3.9,5.003940138408304,hazardous_liquid
20150407,2015,YES,CORROSION FAILURE,32.021937,-102.016177,TX,75117,16.0,CARBON STEEL,1972,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,274178.30594206974,124,4.8,5.362785483870968,hazardous_liquid
20130402,2013,NO,INCORRECT OPERATION,32.079424,-103.178079,NM,7025,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,160768.9362118685,289,3.9,5.003940138408304,hazardous_liquid
20220278,2022,YES,EQUIPMENT FAILURE,46.812296,-109.765009,MT,137766,,CARBON STEEL,2019,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,93755.84054012687,6,3.1,6.461666666666667,hazardous_liquid
20240281,2024,NO,CORROSION FAILURE,30.140718,-94.398944,TX,20500,12.0,CARBON STEEL,1931,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,625668.1606309424,46,4.3,4.765,hazardous_liquid
20190067,2019,NO,EQUIPMENT FAILURE,40.534541,-74.260949,NJ,9100,,CARBON STEEL,2014,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,2209931.123586426,78,3.9,8.06423076923077,hazardous_liquid
20140128,2014,NO,EQUIPMENT FAILURE,41.507105,-87.452478,IN,4276,,,,ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,1211975.6475217983,3,3.2,14.783333333333333,hazardous_liquid
20200072,2020,NO,INCORRECT OPERATION,31.5265,-103.5597,TX,4100,,CARBON STEEL,UNKNOWN,ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,110696.5008113804,289,3.9,5.003940138408304,hazardous_liquid
20120089,2012,YES,OTHER OUTSIDE FORCE DAMAGE,30.49358055,-91.19684722,LA,96700,10.0,CARBON STEEL,1949,"ONSHORE PIPELINE, INCLUDING VALVE SITES",814021.3860879868,0,0.0,0.0,gas
20100066,2010,YES,EXCAVATION DAMAGE,29.2564,-89.1883,LA,13933600,10.0,CARBON STEEL,1964,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1051487.8701285238,0,0.0,0.0,hazardous_liquid
